nationality,list,talker,vowel,sentNum,blockName,word,ques,correctAns,photo1,photo2,stimTypeA,triggerA,sentA,stimTypeB,triggerB,sentB,stimTypeC,triggerC,sentC,stimTypeD,triggerD,sentD,stimTypeE,triggerE,sentE,stimTypeF,triggerF,sentF
CN,CN1,S5,filler,3,CN_B2,coat,Did she want to be lawyer?,0,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,hc,47,sentBlocks\SentenceStim\S5_filler_03_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_03_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_03_hc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_03_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_03_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_03_lc.wav
CN,CN1,S5,filler,6,CN_B2,leak,Does she like travelling?,1,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,lc,48,sentBlocks\SentenceStim\S5_filler_06_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_06_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_06_lc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_06_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_06_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_06_hc.wav
CN,CN1,S5,filler,8,CN_B2,pushover,Has she been going to the gym?,1,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,lc,48,sentBlocks\SentenceStim\S5_filler_08_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_08_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_08_lc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_08_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_08_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_08_hc.wav
CN,CN1,S5,AU,11,CN_B2,breakouts,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,mp,44,sentBlocks\SentenceStim\S5_AU_11_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_11_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_11_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_11_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_11_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_11_ur.wav
CN,CN1,S5,AU,15,CN_B2,mouth,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,ur,46,sentBlocks\SentenceStim\S5_AU_15_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_15_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_15_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_15_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_15_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_15_rs.wav
CN,CN1,S5,AU,16,CN_B2,slouched,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,rs,45,sentBlocks\SentenceStim\S5_AU_16_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_16_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_16_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_16_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_16_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_16_mp.wav
CN,CN1,S5,AI,30,CN_B2,twice,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,mp,41,sentBlocks\SentenceStim\S5_AI_30_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_30_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_30_ur.wav,mp,41,sentBlocks\SentenceStim\S5_AI_30_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_30_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_30_ur.wav
CN,CN2,S8,filler,6,CN_B2,door,Is she someone who is very on-time?,0,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,hc,57,sentBlocks\SentenceStim\S8_filler_06_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_06_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_06_hc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_06_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_06_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_06_lc.wav
CN,CN2,S8,AU,18,CN_B2,sprouts,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,ur,56,sentBlocks\SentenceStim\S8_AU_18_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_18_mp.wav,rs,55,sentBlocks\SentenceStim\S8_AU_18_rs.wav,ur,56,sentBlocks\SentenceStim\S8_AU_18_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_18_mp.wav,rs,55,sentBlocks\SentenceStim\S8_AU_18_rs.wav
CN,CN2,S8,AU,20,CN_B2,workout,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,rs,55,sentBlocks\SentenceStim\S8_AU_20_rs.wav,ur,56,sentBlocks\SentenceStim\S8_AU_20_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_20_mp.wav,rs,55,sentBlocks\SentenceStim\S8_AU_20_rs.wav,ur,56,sentBlocks\SentenceStim\S8_AU_20_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_20_mp.wav
CN,CN2,S8,AI,22,CN_B2,flight,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,mp,51,sentBlocks\SentenceStim\S8_AI_22_mp.wav,rs,52,sentBlocks\SentenceStim\S8_AI_22_rs.wav,ur,53,sentBlocks\SentenceStim\S8_AI_22_ur.wav,mp,51,sentBlocks\SentenceStim\S8_AI_22_mp.wav,rs,52,sentBlocks\SentenceStim\S8_AI_22_rs.wav,ur,53,sentBlocks\SentenceStim\S8_AI_22_ur.wav
CN,CN2,S8,AI,28,CN_B2,sites,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,ur,53,sentBlocks\SentenceStim\S8_AI_28_ur.wav,mp,51,sentBlocks\SentenceStim\S8_AI_28_mp.wav,rs,52,sentBlocks\SentenceStim\S8_AI_28_rs.wav,ur,53,sentBlocks\SentenceStim\S8_AI_28_ur.wav,mp,51,sentBlocks\SentenceStim\S8_AI_28_mp.wav,rs,52,sentBlocks\SentenceStim\S8_AI_28_rs.wav
CN,CN3,S9,filler,3,CN_B2,cape,Does she like to visit New York?,0,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,lc,68,sentBlocks\SentenceStim\S9_filler_03_lc.wav,lc,68,sentBlocks\SentenceStim\S9_filler_03_lc.wav,lc,68,sentBlocks\SentenceStim\S9_filler_03_lc.wav,hc,67,sentBlocks\SentenceStim\S9_filler_03_hc.wav,hc,67,sentBlocks\SentenceStim\S9_filler_03_hc.wav,hc,67,sentBlocks\SentenceStim\S9_filler_03_hc.wav
CN,CN3,S9,filler,4,CN_B2,cook,Did her father make her meals growing up?,0,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,hc,67,sentBlocks\SentenceStim\S9_filler_04_hc.wav,hc,67,sentBlocks\SentenceStim\S9_filler_04_hc.wav,hc,67,sentBlocks\SentenceStim\S9_filler_04_hc.wav,lc,68,sentBlocks\SentenceStim\S9_filler_04_lc.wav,lc,68,sentBlocks\SentenceStim\S9_filler_04_lc.wav,lc,68,sentBlocks\SentenceStim\S9_filler_04_lc.wav
CN,CN3,S9,AU,15,CN_B2,mouth,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,rs,65,sentBlocks\SentenceStim\S9_AU_15_rs.wav,ur,66,sentBlocks\SentenceStim\S9_AU_15_ur.wav,mp,64,sentBlocks\SentenceStim\S9_AU_15_mp.wav,rs,65,sentBlocks\SentenceStim\S9_AU_15_rs.wav,ur,66,sentBlocks\SentenceStim\S9_AU_15_ur.wav,mp,64,sentBlocks\SentenceStim\S9_AU_15_mp.wav
