nationality,list,talker,vowel,sentNum,blockName,word,ques,correctAns,photo1,photo2,stimTypeA,triggerA,sentA,stimTypeB,triggerB,sentB,stimTypeC,triggerC,sentC,stimTypeD,triggerD,sentD,stimTypeE,triggerE,sentE,stimTypeF,triggerF,sentF
CN,CN1,S5,filler,4,CN_B1,calf,Does she still drink pop?,0,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,lc,48,sentBlocks\SentenceStim\S5_filler_04_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_04_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_04_lc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_04_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_04_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_04_hc.wav
CN,CN1,S5,filler,9,CN_B1,steam,Does she enjoy exercising?,0,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,hc,47,sentBlocks\SentenceStim\S5_filler_09_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_09_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_09_hc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_09_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_09_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_09_lc.wav
CN,CN1,S5,AU,14,CN_B1,mouse,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,mp,44,sentBlocks\SentenceStim\S5_AU_14_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_14_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_14_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_14_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_14_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_14_ur.wav
CN,CN1,S5,AU,20,CN_B1,workout,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,ur,46,sentBlocks\SentenceStim\S5_AU_20_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_20_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_20_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_20_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_20_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_20_rs.wav
CN,CN1,S5,AI,22,CN_B1,bright,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,rs,42,sentBlocks\SentenceStim\S5_AI_22_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_22_ur.wav,mp,41,sentBlocks\SentenceStim\S5_AI_22_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_22_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_22_ur.wav,mp,41,sentBlocks\SentenceStim\S5_AI_22_mp.wav
CN,CN1,S5,AI,23,CN_B1,knife,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,mp,41,sentBlocks\SentenceStim\S5_AI_23_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_23_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_23_ur.wav,mp,41,sentBlocks\SentenceStim\S5_AI_23_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_23_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_23_ur.wav
CN,CN2,S8,filler,4,CN_B1,coast,Does she like the Californian vibe?,1,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,hc,57,sentBlocks\SentenceStim\S8_filler_04_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_04_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_04_hc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_04_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_04_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_04_lc.wav
CN,CN2,S8,AU,11,CN_B1,house,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,ur,56,sentBlocks\SentenceStim\S8_AU_11_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_11_mp.wav,rs,55,sentBlocks\SentenceStim\S8_AU_11_rs.wav,ur,56,sentBlocks\SentenceStim\S8_AU_11_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_11_mp.wav,rs,55,sentBlocks\SentenceStim\S8_AU_11_rs.wav
CN,CN2,S8,AU,14,CN_B1,mouse,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,rs,55,sentBlocks\SentenceStim\S8_AU_14_rs.wav,ur,56,sentBlocks\SentenceStim\S8_AU_14_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_14_mp.wav,rs,55,sentBlocks\SentenceStim\S8_AU_14_rs.wav,ur,56,sentBlocks\SentenceStim\S8_AU_14_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_14_mp.wav
CN,CN2,S8,AI,24,CN_B1,life,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,mp,51,sentBlocks\SentenceStim\S8_AI_24_mp.wav,rs,52,sentBlocks\SentenceStim\S8_AI_24_rs.wav,ur,53,sentBlocks\SentenceStim\S8_AI_24_ur.wav,mp,51,sentBlocks\SentenceStim\S8_AI_24_mp.wav,rs,52,sentBlocks\SentenceStim\S8_AI_24_rs.wav,ur,53,sentBlocks\SentenceStim\S8_AI_24_ur.wav
