nationality,list,talker,vowel,sentNum,blockName,word,ques,correctAns,photo1,photo2,stimTypeA,triggerA,sentA,stimTypeB,triggerB,sentB,stimTypeC,triggerC,sentC,stimTypeD,triggerD,sentD,stimTypeE,triggerE,sentE,stimTypeF,triggerF,sentF
AM,AM1,S2,filler,6,AM_B2,catch,Is she good at making pot roast?,0,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,lc,18,sentBlocks\SentenceStim\S2_filler_06_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_06_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_06_lc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_06_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_06_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_06_hc.wav
AM,AM1,S2,filler,8,AM_B2,son,Does she want three kids?,0,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,hc,17,sentBlocks\SentenceStim\S2_filler_08_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_08_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_08_hc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_08_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_08_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_08_lc.wav
AM,AM1,S2,filler,10,AM_B2,tshirt,Does she typically care about what she wears?,0,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,hc,17,sentBlocks\SentenceStim\S2_filler_10_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_10_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_10_hc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_10_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_10_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_10_lc.wav
AM,AM1,S2,AU,16,AM_B2,slouch,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,mp,14,sentBlocks\SentenceStim\S2_AU_16_mp.wav,rs,15,sentBlocks\SentenceStim\S2_AU_16_rs.wav,ur,16,sentBlocks\SentenceStim\S2_AU_16_ur.wav,mp,14,sentBlocks\SentenceStim\S2_AU_16_mp.wav,rs,15,sentBlocks\SentenceStim\S2_AU_16_rs.wav,ur,16,sentBlocks\SentenceStim\S2_AU_16_ur.wav
AM,AM1,S2,AI,22,AM_B2,flight,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,ur,13,sentBlocks\SentenceStim\S2_AI_22_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_22_mp.wav,rs,12,sentBlocks\SentenceStim\S2_AI_22_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_22_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_22_mp.wav,rs,12,sentBlocks\SentenceStim\S2_AI_22_rs.wav
AM,AM1,S2,AI,27,AM_B2,life,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,rs,12,sentBlocks\SentenceStim\S2_AI_27_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_27_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_27_mp.wav,rs,12,sentBlocks\SentenceStim\S2_AI_27_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_27_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_27_mp.wav
AM,AM2,S3,filler,2,AM_B2,cake,Does she have good self-control around sweets?,1,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,hc,27,sentBlocks\SentenceStim\S3_filler_02_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_02_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_02_hc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_02_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_02_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_02_lc.wav
AM,AM2,S3,filler,4,AM_B2,coffee,Does she need caffiene in the morning?,1,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,hc,27,sentBlocks\SentenceStim\S3_filler_04_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_04_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_04_hc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_04_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_04_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_04_lc.wav
AM,AM2,S3,AU,15,AM_B2,mouth,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,mp,24,sentBlocks\SentenceStim\S3_AU_15_mp.wav,rs,25,sentBlocks\SentenceStim\S3_AU_15_rs.wav,ur,26,sentBlocks\SentenceStim\S3_AU_15_ur.wav,mp,24,sentBlocks\SentenceStim\S3_AU_15_mp.wav,rs,25,sentBlocks\SentenceStim\S3_AU_15_rs.wav,ur,26,sentBlocks\SentenceStim\S3_AU_15_ur.wav
AM,AM2,S3,AU,16,AM_B2,sauerkraut,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,ur,26,sentBlocks\SentenceStim\S3_AU_16_ur.wav,mp,24,sentBlocks\SentenceStim\S3_AU_16_mp.wav,rs,25,sentBlocks\SentenceStim\S3_AU_16_rs.wav,ur,26,sentBlocks\SentenceStim\S3_AU_16_ur.wav,mp,24,sentBlocks\SentenceStim\S3_AU_16_mp.wav,rs,25,sentBlocks\SentenceStim\S3_AU_16_rs.wav
