nationality,list,talker,vowel,sentNum,blockName,word,ques,correctAns,photo1,photo2,stimTypeA,triggerA,sentA,stimTypeB,triggerB,sentB,stimTypeC,triggerC,sentC,stimTypeD,triggerD,sentD,stimTypeE,triggerE,sentE,stimTypeF,triggerF,sentF
CN,CN1,S5,filler,1,CN_B4,anymore,Did she draw when she was in college?,0,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,hc,47,sentBlocks\SentenceStim\S5_filler_01_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_01_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_01_hc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_01_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_01_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_01_lc.wav
CN,CN1,S5,filler,5,CN_B4,good,Is spring her favorite season?,0,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,hc,47,sentBlocks\SentenceStim\S5_filler_05_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_05_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_05_hc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_05_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_05_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_05_lc.wav
CN,CN1,S5,filler,7,CN_B4,mall,Does she wish she had someone special?,1,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,lc,48,sentBlocks\SentenceStim\S5_filler_07_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_07_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_07_lc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_07_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_07_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_07_hc.wav
CN,CN1,S5,AU,13,CN_B4,house,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,mp,44,sentBlocks\SentenceStim\S5_AU_13_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_13_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_13_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_13_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_13_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_13_ur.wav
CN,CN1,S5,AI,21,CN_B4,advice,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,ur,43,sentBlocks\SentenceStim\S5_AI_21_ur.wav,mp,41,sentBlocks\SentenceStim\S5_AI_21_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_21_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_21_ur.wav,mp,41,sentBlocks\SentenceStim\S5_AI_21_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_21_rs.wav
CN,CN1,S5,AI,25,CN_B4,life,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,rs,42,sentBlocks\SentenceStim\S5_AI_25_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_25_ur.wav,mp,41,sentBlocks\SentenceStim\S5_AI_25_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_25_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_25_ur.wav,mp,41,sentBlocks\SentenceStim\S5_AI_25_mp.wav
CN,CN1,S5,AI,29,CN_B4,stripes,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,mp,41,sentBlocks\SentenceStim\S5_AI_29_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_29_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_29_ur.wav,mp,41,sentBlocks\SentenceStim\S5_AI_29_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_29_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_29_ur.wav
CN,CN2,S8,filler,5,CN_B4,coffee,Does she have a lot of hobbies?,0,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,hc,57,sentBlocks\SentenceStim\S8_filler_05_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_05_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_05_hc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_05_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_05_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_05_lc.wav
CN,CN2,S8,filler,7,CN_B4,honey,Does she have friends over a lot?,1,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,lc,58,sentBlocks\SentenceStim\S8_filler_07_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_07_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_07_lc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_07_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_07_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_07_hc.wav
CN,CN2,S8,AU,15,CN_B4,mouth,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,ur,56,sentBlocks\SentenceStim\S8_AU_15_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_15_mp.wav,rs,55,sentBlocks\SentenceStim\S8_AU_15_rs.wav,ur,56,sentBlocks\SentenceStim\S8_AU_15_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_15_mp.wav,rs,55,sentBlocks\SentenceStim\S8_AU_15_rs.wav
