nationality,list,talker,vowel,sentNum,blockName,word,ques,correctAns,photo1,photo2,stimTypeA,triggerA,sentA,stimTypeB,triggerB,sentB,stimTypeC,triggerC,sentC,stimTypeD,triggerD,sentD,stimTypeE,triggerE,sentE,stimTypeF,triggerF,sentF
CN,CN1,S5,filler,10,CN_B3,tongue,Does she consider herself a millenial?,1,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,lc,48,sentBlocks\SentenceStim\S5_filler_10_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_10_lc.wav,lc,48,sentBlocks\SentenceStim\S5_filler_10_lc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_10_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_10_hc.wav,hc,47,sentBlocks\SentenceStim\S5_filler_10_hc.wav
CN,CN1,S5,AU,12,CN_B3,house,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,mp,44,sentBlocks\SentenceStim\S5_AU_12_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_12_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_12_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_12_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_12_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_12_ur.wav
CN,CN1,S5,AU,18,CN_B3,south,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,ur,46,sentBlocks\SentenceStim\S5_AU_18_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_18_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_18_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_18_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_18_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_18_rs.wav
CN,CN1,S5,AU,19,CN_B3,without,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,rs,45,sentBlocks\SentenceStim\S5_AU_19_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_19_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_19_mp.wav,rs,45,sentBlocks\SentenceStim\S5_AU_19_rs.wav,ur,46,sentBlocks\SentenceStim\S5_AU_19_ur.wav,mp,44,sentBlocks\SentenceStim\S5_AU_19_mp.wav
CN,CN1,S5,AI,26,CN_B3,nice,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,mp,41,sentBlocks\SentenceStim\S5_AI_26_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_26_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_26_ur.wav,mp,41,sentBlocks\SentenceStim\S5_AI_26_mp.wav,rs,42,sentBlocks\SentenceStim\S5_AI_26_rs.wav,ur,43,sentBlocks\SentenceStim\S5_AI_26_ur.wav
CN,CN2,S8,filler,1,CN_B3,bags,Is she trying to be eco-friendly?,1,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,hc,57,sentBlocks\SentenceStim\S8_filler_01_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_01_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_01_hc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_01_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_01_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_01_lc.wav
CN,CN2,S8,filler,2,CN_B3,bins,Is she very decisive?,0,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,lc,58,sentBlocks\SentenceStim\S8_filler_02_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_02_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_02_lc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_02_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_02_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_02_hc.wav
CN,CN2,S8,filler,9,CN_B3,script,Does she often drop her phone?,1,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,lc,58,sentBlocks\SentenceStim\S8_filler_09_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_09_lc.wav,lc,58,sentBlocks\SentenceStim\S8_filler_09_lc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_09_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_09_hc.wav,hc,57,sentBlocks\SentenceStim\S8_filler_09_hc.wav
CN,CN2,S8,AU,12,CN_B3,house,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,ur,56,sentBlocks\SentenceStim\S8_AU_12_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_12_mp.wav,rs,55,sentBlocks\SentenceStim\S8_AU_12_rs.wav,ur,56,sentBlocks\SentenceStim\S8_AU_12_ur.wav,mp,54,sentBlocks\SentenceStim\S8_AU_12_mp.wav,rs,55,sentBlocks\SentenceStim\S8_AU_12_rs.wav
CN,CN2,S8,AI,21,CN_B3,advice,na,na,sentBlocks\FacePrime\CN_face_1.png,sentBlocks\FacePrime\CN_face_2.png,rs,52,sentBlocks\SentenceStim\S8_AI_21_rs.wav,ur,53,sentBlocks\SentenceStim\S8_AI_21_ur.wav,mp,51,sentBlocks\SentenceStim\S8_AI_21_mp.wav,rs,52,sentBlocks\SentenceStim\S8_AI_21_rs.wav,ur,53,sentBlocks\SentenceStim\S8_AI_21_ur.wav,mp,51,sentBlocks\SentenceStim\S8_AI_21_mp.wav
