nationality,list,talker,vowel,sentNum,blockName,word,ques,correctAns,photo1,photo2,stimTypeA,triggerA,sentA,stimTypeB,triggerB,sentB,stimTypeC,triggerC,sentC,stimTypeD,triggerD,sentD,stimTypeE,triggerE,sentE,stimTypeF,triggerF,sentF
AM,AM1,S2,filler,2,AM_B5,bones,Has she gotten in minor accidents before?,1,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,hc,17,sentBlocks\SentenceStim\S2_filler_02_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_02_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_02_hc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_02_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_02_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_02_lc.wav
AM,AM1,S2,AU,12,AM_B5,house,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,mp,14,sentBlocks\SentenceStim\S2_AU_12_mp.wav,rs,15,sentBlocks\SentenceStim\S2_AU_12_rs.wav,ur,16,sentBlocks\SentenceStim\S2_AU_12_ur.wav,mp,14,sentBlocks\SentenceStim\S2_AU_12_mp.wav,rs,15,sentBlocks\SentenceStim\S2_AU_12_rs.wav,ur,16,sentBlocks\SentenceStim\S2_AU_12_ur.wav
AM,AM1,S2,AU,14,AM_B5,mouth,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,ur,16,sentBlocks\SentenceStim\S2_AU_14_ur.wav,mp,14,sentBlocks\SentenceStim\S2_AU_14_mp.wav,rs,15,sentBlocks\SentenceStim\S2_AU_14_rs.wav,ur,16,sentBlocks\SentenceStim\S2_AU_14_ur.wav,mp,14,sentBlocks\SentenceStim\S2_AU_14_mp.wav,rs,15,sentBlocks\SentenceStim\S2_AU_14_rs.wav
AM,AM1,S2,AI,23,AM_B5,goodnight,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,rs,12,sentBlocks\SentenceStim\S2_AI_23_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_23_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_23_mp.wav,rs,12,sentBlocks\SentenceStim\S2_AI_23_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_23_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_23_mp.wav
AM,AM1,S2,AI,28,AM_B5,life,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,mp,11,sentBlocks\SentenceStim\S2_AI_28_mp.wav,rs,12,sentBlocks\SentenceStim\S2_AI_28_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_28_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_28_mp.wav,rs,12,sentBlocks\SentenceStim\S2_AI_28_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_28_ur.wav
AM,AM1,S2,AI,29,AM_B5,tight,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,ur,13,sentBlocks\SentenceStim\S2_AI_29_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_29_mp.wav,rs,12,sentBlocks\SentenceStim\S2_AI_29_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_29_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_29_mp.wav,rs,12,sentBlocks\SentenceStim\S2_AI_29_rs.wav
AM,AM1,S2,AI,30,AM_B5,wipes,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,rs,12,sentBlocks\SentenceStim\S2_AI_30_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_30_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_30_mp.wav,rs,12,sentBlocks\SentenceStim\S2_AI_30_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_30_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_30_mp.wav
AM,AM2,S3,filler,5,AM_B5,call,Is her dad a teacher?,0,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,lc,28,sentBlocks\SentenceStim\S3_filler_05_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_05_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_05_lc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_05_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_05_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_05_hc.wav
AM,AM2,S3,filler,8,AM_B5,once,Is she interested in playing basketball?,0,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,hc,27,sentBlocks\SentenceStim\S3_filler_08_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_08_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_08_hc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_08_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_08_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_08_lc.wav
AM,AM2,S3,filler,9,AM_B5,shoe,Did she used to play softball regularly?,0,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,lc,28,sentBlocks\SentenceStim\S3_filler_09_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_09_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_09_lc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_09_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_09_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_09_hc.wav
