"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"3160","","test","audio-keyboard-response","110","330393","0.0-8.0-1.41","5a80e46a2a842c0001fc913f","condA","","resources/audio/wordStim/S9_AI_25_axb_Step-3.wav","49","","","","","AI","resources/audio/wordStim/S9_AI_25_axb_Step-3.wav","S9","25","axb","3","CN","0","1","false"
"null","","fixation","html-keyboard-response","111","331396","0.0-8.0-0.42","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"2920","","test","audio-keyboard-response","112","334313","0.0-8.0-1.42","5a80e46a2a842c0001fc913f","condA","","resources/audio/wordStim/S3_AI_25_axb_Step-9.wav","49","","","","","AI","resources/audio/wordStim/S3_AI_25_axb_Step-9.wav","S3","25","axb","9","MI","0","1","false"
"null","","fixation","html-keyboard-response","113","335315","0.0-8.0-0.43","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3979","","test","audio-keyboard-response","114","339289","0.0-8.0-1.43","5a80e46a2a842c0001fc913f","condA","","resources/audio/wordStim/S3_AU_18_axb_Step-5.wav","49","","","","","AU","resources/audio/wordStim/S3_AU_18_axb_Step-5.wav","S3","18","axb","5","MI","0","1","false"
"null","","fixation","html-keyboard-response","115","340293","0.0-8.0-0.44","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3411","","test","audio-keyboard-response","116","343705","0.0-8.0-1.44","5a80e46a2a842c0001fc913f","condA","","resources/audio/wordStim/S3_AI_30_bxa_Step-6.wav","48","","","","","AI","resources/audio/wordStim/S3_AI_30_bxa_Step-6.wav","S3","30","bxa","6","MI","1","0","false"
"null","","fixation","html-keyboard-response","117","344706","0.0-8.0-0.45","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3419","","test","audio-keyboard-response","118","348121","0.0-8.0-1.45","5a80e46a2a842c0001fc913f","condA","","resources/audio/wordStim/S3_AI_23_bxa_Step-2.wav","49","","","","","AI","resources/audio/wordStim/S3_AI_23_bxa_Step-2.wav","S3","23","bxa","2","MI","1","1","true"
"null","","fixation","html-keyboard-response","119","349122","0.0-8.0-0.46","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3472","","test","audio-keyboard-response","120","352593","0.0-8.0-1.46","5a80e46a2a842c0001fc913f","condA","","resources/audio/wordStim/S3_AU_15_axb_Step-5.wav","48","","","","","AU","resources/audio/wordStim/S3_AU_15_axb_Step-5.wav","S3","15","axb","5","MI","0","0","true"
"null","","fixation","html-keyboard-response","121","353595","0.0-8.0-0.47","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3419","","test","audio-keyboard-response","122","357008","0.0-8.0-1.47","5a80e46a2a842c0001fc913f","condA","","resources/audio/wordStim/S9_AU_20_bxa_Step-8.wav","49","","","","","AU","resources/audio/wordStim/S9_AU_20_bxa_Step-8.wav","S9","20","bxa","8","CN","1","1","true"
